timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,92.52,45.80198019801979,138.79122324009123,97.46,48.247524752475236,146.40175475483736,93.5,46.2871287128713,141.7771409781595,84.22,41.6930693069307,127.4580393503576,92.9,45.990099009900995,139.53729575443575
2,219.58,62.9009900990099,189.97289744368078,228.78,65.009900990099,196.28836933932834,220.12,62.68316831683169,191.28760560157528,194.16,54.42574257425743,165.38100882890882,220.92,63.376237623762364,192.28192645866156
3,363.1,71.04950495049506,215.11419165584252,378.24,73.99009900990097,223.18152700094862,362.94,70.70297029702972,215.52657610765212,315.7,60.16831683168317,182.20948948701513,363.46,70.56435643564355,213.0727489983272
4,513.62,74.51485148514853,225.53826557476074,535.48,77.84158415841584,234.7919410623999,515.6,75.57425742574256,229.84895929193965,444.22,63.62376237623762,192.69094351848437,514.58,74.81188118811883,226.21773783259488
5,670.66,77.74257425742574,234.6791097353978,696.0,79.46534653465346,240.1263998317958,673.54,78.18811881188118,237.28813732133185,576.0,65.23762376237624,197.12093233353232,671.64,77.75247524752476,234.45626609371266
6,830.82,79.28712871287128,238.982170174009,858.92,80.65346534653465,243.510880156838,832.52,78.70297029702974,238.56014040361097,710.4,66.53465346534655,200.78061150161292,831.0,78.89108910891089,238.23261171263547
7,993.1,80.33663366336633,242.34642886871586,1022.56,81.00990099009903,244.29803940844002,992.0,78.95049504950495,239.5401507840369,846.8,67.52475247524754,203.82810356566685,991.26,79.33663366336636,239.32540570004087
8,1153.42,79.36633663366338,239.8239379439334,1188.38,82.08910891089108,247.5801499830966,1152.98,79.69306930693068,242.25797636165268,984.06,67.95049504950494,205.3314679781903,1152.9,80.01980198019804,241.21347870118453
9,1314.74,79.86138613861385,240.83911274753908,1353.22,81.60396039603961,246.37051441438388,1314.02,79.72277227722776,241.6910902566895,1121.12,67.85148514851484,204.96579950608654,1313.8,79.65346534653466,240.46655714514756
10,1475.06,79.36633663366341,239.9126716264128,1517.96,81.55445544554455,246.36470843858166,1474.98,79.68316831683168,241.58730878885632,1258.46,67.99009900990097,205.09176933122603,1475.26,79.93069306930694,241.18955477644081
11,1635.72,79.53465346534652,240.40348390045034,1682.72,81.56435643564356,246.1759018282221,1636.1,79.76237623762376,241.513474141018,1396.98,68.57425742574257,206.96242178908898,1635.68,79.41584158415841,239.8500858196884
12,1796.96,79.82178217821783,240.57807286945717,1846.9,81.27722772277227,244.814036314216,1796.96,79.63366336633662,241.5951162570242,1536.38,69.009900990099,208.37875147161736,1797.54,80.12871287128714,241.88878477748386
13,1959.28,80.35643564356437,242.12383267906935,2010.68,81.07920792079207,244.09329397990754,1957.06,79.25742574257426,240.51523810979666,1676.66,69.44554455445544,209.4985289910272,1959.3,80.0792079207921,241.76864131244164
14,2122.34,80.72277227722773,243.75559184666577,2175.36,81.52475247524751,245.9829307972841,2118.78,80.05940594059408,242.6642206523702,1816.04,69.0,208.1903694460321,2122.02,80.55445544554458,242.96568581698142
15,2285.84,80.94059405940594,244.217283886927,2339.26,81.1386138613861,245.15064225052936,2281.12,80.36633663366337,243.2080169608532,1956.32,69.44554455445545,209.95075884831436,2285.26,80.81188118811882,243.7892246060683
16,2449.6,81.06930693069307,244.66902676473026,2504.3,81.7029702970297,246.74314753223751,2442.4,79.84158415841584,241.8802474002658,2096.82,69.55445544554458,210.48163766101217,2447.86,80.4950495049505,242.95176284458998
17,2612.74,80.76237623762377,243.91956072644373,2670.48,82.26732673267328,248.68360046871945,2604.08,80.03960396039606,242.0624070624534,2238.24,70.009900990099,211.89580044256948,2609.66,80.0990099009901,241.38119728042525
18,2775.84,80.74257425742573,243.64511822520862,2836.34,82.10891089108911,247.47438185572372,2764.74,79.53465346534652,240.7319797885022,2379.66,70.009900990099,211.75402539067034,2772.24,80.48514851485149,243.28480155830326
19,2940.34,81.43564356435644,245.96180990643697,3001.32,81.67326732673267,246.51710869008863,2926.48,80.06930693069309,242.08276131852924,2519.88,69.41584158415841,209.6252829945696,2934.8,80.47524752475248,243.1952719462099
20,3103.32,80.6831683168317,244.0172438560325,3167.28,82.15841584158417,247.69493673736716,3088.86,80.38613861386138,243.43268318217852,2660.46,69.59405940594061,210.35348898928706,3096.46,80.02970297029702,241.826711091445
21,3266.4,80.73267326732675,243.89361544585702,3332.64,81.86138613861387,247.19102148120808,3250.66,80.0990099009901,242.55037199312272,2801.88,70.009900990099,211.31707801145387,3258.42,80.1782178217822,242.09716357900524
22,3429.94,80.96039603960395,243.73808777518164,3497.76,81.74257425742574,246.65479101969476,3412.06,79.9009900990099,241.7535674605185,2942.12,69.42574257425741,209.64641469104978,3420.96,80.46534653465346,242.88093035159972
23,3592.42,80.43564356435643,242.97718171344036,3663.34,81.97029702970296,247.24859149874646,3574.08,80.20792079207924,242.7712273627811,3082.0,69.24752475247524,209.22422753370063,3582.86,80.14851485148513,241.89718158820392
24,3756.12,81.03960396039604,244.68782634396382,3829.18,82.0990099009901,247.58999296843723,3735.14,79.73267326732675,241.75941924441653,3220.32,68.47524752475246,206.9049635858989,3745.86,80.69306930693068,243.67500499151262
25,3919.32,80.79207920792082,243.70816870550618,3995.2,82.1881188118812,247.92925106150403,3896.52,79.89108910891092,241.87189951935116,3359.62,68.96039603960396,208.4436639733627,3909.96,81.23762376237622,245.4054643229804
26,4081.94,80.50495049504951,242.82066833891156,4159.92,81.54455445544554,245.98233317898703,4057.5,79.69306930693068,241.27428377153035,3498.52,68.76237623762377,207.6660264150181,4071.44,79.94059405940594,241.3021129406891
27,4244.38,80.41584158415843,242.5325019159891,4326.4,82.41584158415843,248.53104555182807,4219.24,80.06930693069307,242.87138523761348,3639.22,69.65346534653465,210.37933123197777,4233.3,80.12871287128715,241.89559841482557
28,4406.86,80.43564356435644,242.61448597376616,4493.76,82.85148514851484,250.2949240886643,4379.44,79.30693069306932,240.28209154425775,3779.7,69.54455445544554,210.18976024648123,4396.24,80.66336633663369,243.29302208232173
29,4569.52,80.52475247524754,243.21675532994897,4660.6,82.59405940594057,249.61191820021799,4540.18,79.5742574257426,241.1964394460023,3919.24,69.07920792079206,208.3431471161899,4558.62,80.38613861386138,242.60959401969725
30,4732.28,80.57425742574257,243.39204746798023,4825.64,81.7029702970297,247.09814924332403,4700.9,79.56435643564359,241.56468324192704,4057.92,68.65346534653465,207.15233408805537,4720.78,80.27722772277228,242.57838057686095
