timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,95.04,47.52,143.4644898974711,98.12,49.06,147.51662776334769,94.68,47.34,143.1491717524727,92.02,46.01,138.31159311195125,96.5,48.25,145.35112983100717
2,222.24,63.6,191.9409889530563,224.12,63.0,189.85627541879302,220.36,62.84,190.6881962435561,212.6,60.29,182.12253820676466,223.1,63.3,191.22128737912885
3,362.0,69.88,210.65528658086092,360.56,68.22,206.32877218396317,361.0,70.32,213.8497520421426,348.34,67.87,205.13939345647503,362.5,69.7,210.2426841043091
4,509.64,73.82,223.0660964909093,503.56,71.5,216.13366560950834,506.5,72.75,221.469529830843,489.18,70.42,213.18206872240458,508.62,73.06,220.8746459115856
5,660.8,75.58,228.59191067049792,649.3,72.87,220.99316340092767,653.92,73.71,223.87598638597262,631.88,71.35,215.621385540146,657.82,74.6,225.41892922480477
6,814.94,77.07,233.4719297649694,795.04,72.87,220.49968759878087,804.6,75.34,228.9007384600947,775.16,71.64,216.50135789399764,809.3,75.74,228.9104934808282
7,969.2,77.13,234.03163792333015,939.76,72.36,219.5286522559549,955.58,75.49,229.42453249556058,920.96,72.9,220.59224752095645,962.4,76.55,231.49408362351173
8,1125.1,77.95,235.8031633045792,1085.76,73.0,220.70825506609236,1106.4,75.41,229.33879113059197,1067.58,73.31,222.00604111830984,1115.96,76.78,232.27715988608034
9,1280.58,77.74,235.4613253878922,1232.14,73.19,221.4861303782784,1260.22,76.91,233.8752206146227,1213.9,73.16,221.35522977994358,1270.56,77.3,233.6481956415663
10,1436.2,77.81,235.70321980786957,1380.8,74.33,224.9913540287494,1414.8,77.29,235.35962307117308,1359.88,72.99,220.9994193398022,1424.38,76.91,232.44196035522597
11,1592.04,77.92,235.96160730822044,1528.72,73.96,224.19639526023514,1569.14,77.17,234.90022393886713,1505.56,72.84,220.5328452414464,1578.74,77.18,233.36009896132947
12,1748.7,78.33,237.11978759731235,1676.26,73.77,223.72775727582015,1721.52,76.19,232.3734704958611,1652.3,73.37,222.02913528604924,1734.7,77.98,235.7974617044731
13,1903.52,77.41,234.46098328766806,1824.98,74.36,225.48956087776492,1874.24,76.36,232.59611662478227,1801.2,74.45,225.20523981150137,1889.76,77.53,234.28326955991935
14,2058.58,77.53,234.604339011142,1972.38,73.7,223.27078440207407,2026.96,76.36,232.40145445489284,1949.3,74.05,224.2891375513708,2044.32,77.28,233.84094317182223
15,2213.26,77.34,234.2761147983928,2118.1,72.86,220.93445688102523,2179.08,76.06,231.28532250152944,2098.1,74.4,225.10525898494205,2197.62,76.65,231.8396150431008
16,2369.54,78.14,236.8259709610569,2265.18,73.54,223.04424920480432,2331.86,76.39,232.44613221179313,2245.74,73.82,223.53034363804892,2352.52,77.45,234.11057145115888
17,2525.74,78.1,236.2335621649151,2412.3,73.56,223.23604975890532,2484.2,76.17,231.91278091698055,2392.26,73.26,222.0773742834075,2507.84,77.66,234.51098954103435
18,2681.58,77.92,235.69435835650359,2559.66,73.68,223.5422001418905,2637.04,76.42,232.95529861332076,2538.06,72.9,221.27234731450673,2661.58,76.87,231.85394776263539
19,2838.84,78.63,237.91206382387253,2707.42,73.88,223.92473948694828,2788.74,75.85,231.18551298863412,2686.54,74.24,224.93672777758107,2815.86,77.14,232.95400426793032
20,2995.96,78.56,237.89792127842546,2855.38,73.98,224.26129575115647,2941.48,76.37,233.0076440223576,2833.32,73.39,222.3307595768356,2969.1,76.62,231.72665432214868
21,3153.3,78.67,238.17202240501504,3001.16,72.89,221.03683560617176,3094.62,76.57,233.43591810918093,2980.56,73.62,222.94177572362895,3122.92,76.91,232.34875416340415
22,3310.34,78.52,237.81576514425146,3148.22,73.53,222.49538419012646,3247.26,76.32,232.39636435345182,3127.72,73.58,222.69657665879862,3276.68,76.88,232.67661887252808
23,3467.06,78.36,237.19262977805585,3295.36,73.57,222.96150298882222,3399.74,76.24,232.29396736077183,3274.86,73.57,222.75991190240637,3430.28,76.8,232.1253935484957
24,3623.2,78.07,236.31144845840262,3443.0,73.82,224.13543254874895,3553.22,76.74,233.48352216051796,3423.28,74.21,224.69014015126356,3582.86,76.29,230.39367850744327
25,3778.96,77.88,236.0527125798276,3591.02,74.01,224.1965664923262,3705.66,76.22,231.74555199015722,3570.88,73.8,223.7971057616084,3736.44,76.79,231.93372466771186
26,3933.52,77.28,234.25206640349347,3740.48,74.73,226.41390557670422,3858.52,76.43,232.51330442292112,3716.92,73.02,221.54309864263615,3890.38,76.97,232.65838626017583
27,4088.7,77.59,234.6963024428556,3890.84,75.18,227.91983640690432,4010.78,76.13,231.7135198951471,3862.46,72.77,220.85740645019968,4044.88,77.25,233.5031096636992
28,4243.82,77.56,234.91999691799202,4040.52,74.84,227.16942858550672,4164.52,76.87,233.96639442706535,4011.88,74.71,226.6289508465499,4199.58,77.35,234.1738081523117
29,4400.4,78.29,237.35185086501744,4188.64,74.06,224.83934795256738,4317.02,76.25,232.09285628855162,4160.6,74.36,225.43594087603051,4354.54,77.48,234.55925796419146
30,4556.16,77.88,235.80535837734314,4336.7,74.03,224.65180688186013,4471.12,77.05,234.96864911119613,4309.02,74.21,224.63154626424281,4508.92,77.19,233.77037630131517
